data.date,data.owned or leased,data.parking spaces,data.status,data.type,location.congressional district,location,region_id,data.disabilities.ADA Accessible,usable,City,location.address.state,address_code
1996.10.1,OWNED,42,ACTIVE,BUILDING,98,DC0458,11,Will Conform,57507,WASHINGTON,DC,20032
1996.10.1,OWNED,0,ACTIVE,BUILDING,98,DC0459,11,Yes,1308840,WASHINGTON,DC,200043002
1997.10.1,OWNED,500,ACTIVE,BUILDING,98,DC0463,11,Will Conform,240540,WASHINGTON,DC,200012605
0,LEASED,3,ACTIVE,BUILDING,98,DC0466,11,Will Conform,2405,WASHINGTON,DC,200372824
0,LEASED,145,ACTIVE,BUILDING,98,DC0468,11,Will Conform,146486,WASHINGTON,DC,200181517
1996.10.1,OWNED,131,ACTIVE,BUILDING,98,DC0469,11,Will Conform,63764,WASHINGTON,DC,200321794
0,OWNED,0,ACTIVE,BUILDING,98,DC0473,11,Will Conform,0,WASHINGTON,DC,200042229
0,OWNED,0,ACTIVE,BUILDING,98,DC0483,11,Will Conform,0,WASHINGTON,DC,200042904
0,OWNED,0,ACTIVE,BUILDING,98,DC0486,11,Will Conform,0,WASHINGTON,DC,200042956
0,OWNED,0,ACTIVE,BUILDING,98,DC0490,11,Will Conform,0,WASHINGTON,DC,200042904
0,OWNED,0,ACTIVE,STRUCTURE,98,DC0498,11,Will Conform,0,WASHINGTON,DC,200040000
1880.1.1,OWNED,35,ACTIVE,BUILDING,98,DC0501,11,Will Conform,124587,WASHINGTON,DC,200029900
1880.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0504,11,Will Conform,0,WASHINGTON,DC,20024
1999.10.1,OWNED,365,ACTIVE,BUILDING,98,DC0505,11,Will Conform,331752,WASHINGTON,DC,202230001
0,LEASED,18,ACTIVE,BUILDING,98,DC0506,11,Will Conform,48724,WASHINGTON,DC,200365802
0,LEASED,3,ACTIVE,BUILDING,98,DC0510,11,Will Conform,3233,WASHINGTON,DC,200372824
1996.10.1,OWNED,0,ACTIVE,BUILDING,98,DC0515,11,Yes,523497,WASHINGTON,DC,200043002
